         155974 function calls (155477 primitive calls) in 14.613 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      141   11.122    0.079   11.122    0.079 {built-in method time.sleep}
    34713    1.578    0.000    1.578    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
        1    0.281    0.281    0.284    0.284 {built-in method pygame.display.set_mode}
      142    0.258    0.002    1.896    0.013 /home/alessio/Desktop/Machine_Learning/final_project/Reinforced-Bomberman/environment.py:553(render)
      142    0.199    0.001    0.199    0.001 {built-in method pygame.display.flip}
      396    0.137    0.000    0.368    0.001 /home/alessio/Desktop/Machine_Learning/final_project/Reinforced-Bomberman/agent_code/cavallo_pazzo/callbacks.py:69(state_to_features)
        1    0.064    0.064    0.064    0.064 {built-in method _pickle.load}
      728    0.045    0.000    0.128    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/logging/__init__.py:288(__init__)
        4    0.044    0.011    0.044    0.011 {built-in method io.open}
    18707    0.043    0.000    0.043    0.000 {method 'get' of 'dict' objects}
 1023/607    0.040    0.000    0.136    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     7168    0.032    0.000    0.032    0.000 {built-in method numpy.asanyarray}
      742    0.028    0.000    0.028    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     9714    0.022    0.000    0.022    0.000 {method 'append' of 'list' objects}
      406    0.021    0.000    0.054    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/site-packages/numpy/core/shape_base.py:458(<listcomp>)
      622    0.021    0.000    0.021    0.000 {method 'render' of 'pygame.font.Font' objects}
       66    0.019    0.000    0.617    0.009 /home/alessio/Desktop/Machine_Learning/final_project/Reinforced-Bomberman/agent_code/cavallo_pazzo/callbacks.py:33(act)
      143    0.018    0.000    0.018    0.000 {built-in method pygame.display.set_caption}
      142    0.016    0.000    0.016    0.000 {built-in method pygame.event.get}
      728    0.014    0.000    0.032    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/logging/__init__.py:1514(findCaller)
      728    0.014    0.000    0.067    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/logging/__init__.py:655(format)
     3054    0.013    0.000    0.020    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/site-packages/tqdm/utils.py:374(<genexpr>)
      406    0.013    0.000    0.118    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/site-packages/numpy/core/shape_base.py:383(stack)
      728    0.012    0.000    0.366    0.001 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/logging/__init__.py:1565(_log)
      728    0.011    0.000    0.169    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/logging/__init__.py:941(handle)
      728    0.011    0.000    0.052    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/logging/__init__.py:1062(flush)
     1604    0.010    0.000    0.010    0.000 {built-in method numpy.arange}
      728    0.010    0.000    0.137    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/logging/__init__.py:1073(emit)
      729    0.010    0.000    0.021    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/posixpath.py:140(basename)
      728    0.010    0.000    0.027    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/posixpath.py:117(splitext)
